Resultaat voor vpb; 519 ;; 53 ; 84 ; 116 ; 148 ; 182 ; -115 ; -90 ; -64 ; -38 ; -11 ;; 16 ; 44 ; 73 ; 102 ; 132 ; 163 ; 194 ; 226 ; 272 ; 318 ;; 364 ; 424 ; 498 ; 572 ; 634 ; 710 ; 786 ; 864 ; 942 ; 1.033 ;; 8.633 ;; 1.126 ; 1.257 ; 1.352 ; 1.485 ; 1.619 ; 1.754 ; 1.890 ; 2.064 ; 2.240 ; 2.348 ;; 25.765 ;; 2.396 ; 2.450 ; 2.506 ; 2.562 ; 2.620 ; 2.679 ; 2.739 ; 2.800 ; 2.863 ; 2.927 ;; 52.306 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belastingen; 60 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resultaat na vpb; 459 ;; 53 ; 84 ; 116 ; 148 ; 182 ; -115 ; -90 ; -64 ; -38 ; -11 ;; 16 ; 44 ; 73 ; 102 ; 132 ; 163 ; 194 ; 226 ; 272 ; 318 ;; 364 ; 424 ; 498 ; 572 ; 634 ; 710 ; 786 ; 864 ; 942 ; 1.033 ;; 8.633 ;; 1.126 ; 1.257 ; 1.352 ; 1.485 ; 1.619 ; 1.754 ; 1.890 ; 2.064 ; 2.240 ; 2.348 ;; 25.765 ;; 2.396 ; 2.450 ; 2.506 ; 2.562 ; 2.620 ; 2.679 ; 2.739 ; 2.800 ; 2.863 ; 2.927 ;; 52.306 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cash flow; 459 ;; 62 ; 94 ; 126 ; 159 ; 193 ; -103 ; -78 ; -52 ; -25 ; 2 ;; 31 ; 59 ; 88 ; 118 ; 149 ; 180 ; 212 ; 245 ; 291 ; 337 ;; 385 ; 446 ; 520 ; 594 ; 657 ; 734 ; 811 ; 889 ; 968 ; 1.061 ;; 9.155 ;; 1.154 ; 1.286 ; 1.381 ; 1.515 ; 1.650 ; 1.785 ; 1.922 ; 2.098 ; 2.274 ; 2.383 ;; 26.603 ;; 2.432 ; 2.487 ; 2.543 ; 2.601 ; 2.659 ; 2.719 ; 2.780 ; 2.843 ; 2.906 ; 2.972 ;; 53.547 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lening Rabo begin;;; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ;; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 23.785 ; 23.535 ; 23.535 ; 23.285 ; 23.035 ;; 22.785 ; 22.535 ; 22.035 ; 21.535 ; 20.785 ; 20.285 ; 19.535 ; 18.785 ; 18.035 ; 17.035 ;;;; 16.035 ; 15.035 ; 13.535 ; 12.535 ; 10.785 ; 9.035 ; 7.285 ; 5.535 ; 3.785 ; 1.285 ;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;
