;;;;Annuitair Amortisatieschema;;;;;;;;;;;;
;;;Alleen gegevens in het blauw handmatig wijzigen. ;;;;;;;;;;;;;
;;;Input voor amortisatieschema;;Koopsom;;;;Basis voor amortisatieschema;;;;;;;
;;;Bedrag Lening (excl rente); € 24.034.770 ; € 23.563.500 ;;;;Periodieke annuiteit;; € 109.151,21 ;;;;;
;;;Jaarlijkse Interest;5,00%;;;;;Totaal aantal termijnen;;600;;;;;
;;;Leenperiode in jaren;50;;;;;Slottermijn;;;;;;;
;;;Aantal termijnen per jaar;12;;;;;Annuiteit per jaar;; € 1.309.814,50 ;;;;;
;;;Startdatum;31-12-2025;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Nr;Betaaldatum;Beginsaldo;Periodieke Annuiteit;Annuïtaire rente;Annuïtaire aflossing;Jaaraflossing annuïtair;Hoofdsom (feitelijke aflossing);Rente;Eindsaldo;Rente Cumulatief;Rente Resterend;;Jaarrente;Jaaraflossing feitelijk
5;0;41;31-5-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.515;€ 10.636,04;;; € 100.144,88 ; € 24.034.770,00 ; € 4.105.939,88 ; € 20.279.409,63 ;2029;  ;  
6;0;42;30-6-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.471;€ 10.680,36;;; € 100.144,88 ; € 24.034.770,00 ; € 4.206.084,75 ; € 20.276.284,63 ;2029;  ;  
7;0;43;31-7-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.426;€ 10.724,86;;; € 100.144,88 ; € 24.034.770,00 ; € 4.306.229,63 ; € 20.273.159,63 ;2029;  ;  
8;0;44;31-8-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.382;€ 10.769,55;;; € 100.144,88 ; € 24.034.770,00 ; € 4.406.374,50 ; € 20.270.034,63 ;2029;  ;  
9;0;45;30-9-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.337;€ 10.814,42;;; € 100.144,88 ; € 24.034.770,00 ; € 4.506.519,38 ; € 20.266.909,63 ;2029;  ;  
10;0;46;31-10-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.292;€ 10.859,48;;; € 100.144,88 ; € 24.034.770,00 ; € 4.606.664,25 ; € 20.263.784,63 ;2029;  ;  
11;0;47;30-11-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.246;€ 10.904,73;;; € 100.144,88 ; € 24.034.770,00 ; € 4.706.809,13 ; € 20.260.659,63 ;2029;  ;  
12;1;48;31-12-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.201;€ 10.950,17;€ 128.444; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 4.806.954,00 ; € 20.257.534,63 ;2029; € 1.201.738,50 ; € -   
1;0;49;31-1-2030; € 24.034.770,00 ; € 109.151,21 ;€ 98.155;€ 10.995,79;;; € 100.144,88 ; € 24.034.770,00 ; € 4.907.098,88 ; € 20.254.409,63 ;2030;  ;  
2;0;50;28-2-2030; € 24.034.770,00 ; € 109.151,21 ;€ 98.110;€ 11.041,61;;; € 100.144,88 ; € 24.034.770,00 ; € 5.007.243,75 ; € 20.249.201,29 ;2030;  ;  
3;0;51;31-3-2030; € 24.034.770,00 ; € 109.151,21 ;€ 98.064;€ 11.087,61;;; € 100.144,88 ; € 24.034.770,00 ; € 5.107.388,63 ; € 20.243.992,96 ;2030;  ;  
4;0;52;30-4-2030; € 24.034.770,00 ; € 109.151,21 ;€ 98.017;€ 11.133,81;;; € 100.144,88 ; € 24.034.770,00 ; € 5.207.533,50 ; € 20.238.784,63 ;2030;  ;  
5;0;53;31-5-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.971;€ 11.180,20;;; € 100.144,88 ; € 24.034.770,00 ; € 5.307.678,38 ; € 20.233.576,29 ;2030;  ;  
6;0;54;30-6-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.924;€ 11.226,79;;; € 100.144,88 ; € 24.034.770,00 ; € 5.407.823,25 ; € 20.228.367,96 ;2030;  ;  
7;0;55;31-7-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.878;€ 11.273,57;;; € 100.144,88 ; € 24.034.770,00 ; € 5.507.968,13 ; € 20.223.159,63 ;2030;  ;  
8;0;56;31-8-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.831;€ 11.320,54;;; € 100.144,88 ; € 24.034.770,00 ; € 5.608.113,00 ; € 20.217.951,29 ;2030;  ;  
9;0;57;30-9-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.784;€ 11.367,71;;; € 100.144,88 ; € 24.034.770,00 ; € 5.708.257,88 ; € 20.212.742,96 ;2030;  ;  
10;0;58;31-10-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.736;€ 11.415,07;;; € 100.144,88 ; € 24.034.770,00 ; € 5.808.402,75 ; € 20.207.534,63 ;2030;  ;  
